id,name,code,country_id
puerto_111,MONTREAL,111,
puerto_112,COSTA DEL PACÍFICO OTROS NO ESPECIFICADOS,112,
puerto_113,HALIFAX,113,
puerto_114,VANCOUVER,114,
puerto_115,SAINT JOHN,115,
puerto_116,TORONTO,116,
puerto_117,OTROS PUERTOS DE CANADÁ NO IDENTIFICADOS,117,
puerto_118,BAYSIDE,118,
puerto_120,PORT CARTIES,120,
puerto_124,QUEBEC,124,
puerto_125,PRINCE RUPERT,125,
puerto_126,HAMILTON,126,
puerto_131,BOSTON,131,
puerto_132,NEW HAVEN,132,
puerto_133,BRIDGEPORT,133,
puerto_134,NEW YORK,134,
puerto_135,FILADELFIA,135,
puerto_136,BALTIMORE,136,
puerto_137,NORFOLK,137,
puerto_139,CHARLESTON,139,
puerto_140,SAVANAH,140,
puerto_141,MIAMI,141,
puerto_121,COSTA DEL ATLÁNTICO OTROS NO ESPECIFICADOS COMPRENDIDOS ENTRE MAINE Y KEY WEST,121,
puerto_151,TAMPA,151,
puerto_152,PENSACOLA,152,
puerto_153,MOBILE,153,
puerto_154,NEW ORLEANS,154,
puerto_155,PORT ARTHUR,155,
puerto_156,GALVESTON,156,
puerto_157,CORPUS CRISTI,157,
puerto_158,BROWNSVILLE,158,
puerto_159,HOUSTON,159,
puerto_122,PUERTOS DEL GOLFO DE MÉXICO OTROS NO ESPECIFICADOS COMPRENDIDOS ENTRE KEY WEST Y BROWNSVILLE,122,
puerto_171,SEATTLE,171,
puerto_172,PORTLAND,172,
puerto_173,SAN FRANCISCO,173,
puerto_174,LOS ANGELES,174,
puerto_175,LONG BEACH,175,
puerto_176,SAN DIEGO,176,
puerto_123,COSTA DEL PACÍFICO OTROS NO ESPECIFICADOS,123,
puerto_142,EVERGLADES,142,
puerto_143,JACKSONVILLE,143,
puerto_145,PALM BEACH,145,
puerto_146,BATON ROUGE,146,
puerto_147,COLUMBRES,147,
puerto_148,PITTSBURGH,148,
puerto_149,DULUTH,149,
puerto_150,MILWAUKEE,150,
puerto_160,OAKLAND,160,
puerto_161,STOCKTON,161,
puerto_180,OTROS PUERTOS DE ESTADOS UNIDOS NO ESPECIFICADOS,180,
puerto_211,TAMPICO,211,
puerto_213,VERACRUZ,213,
